order_month,order_type,orders
2024-01,Авиабилеты,54310
2024-01,Отели,11622
2024-02,Авиабилеты,53032
2024-02,Отели,12865
2024-03,Авиабилеты,55924
2024-03,Отели,16656
2024-04,Авиабилеты,57958
2024-04,Отели,17648
2024-05,Авиабилеты,59895
2024-05,Отели,17659
2024-06,Авиабилеты,65086
2024-06,Отели,18060
2024-07,Авиабилеты,68218
2024-07,Отели,18266
2024-08,Авиабилеты,66320
2024-08,Отели,18369
2024-09,Авиабилеты,63210
2024-09,Отели,19010
2024-10,Авиабилеты,61355
2024-10,Отели,18311
2024-11,Авиабилеты,10029
2024-11,Отели,3082
